"20191014_Toxoplasma_TMT_FullExperiment, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128N:126C.127C.127N, turborah.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128C:126C.127C.127N, turborah.mock.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129N:126C.127C.127N, turborah.toxo.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129C:126C.127C.127N, turborah.mock.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130N:126C.127C.127N, turborah.toxo.r3:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131N:126C.127C.127N, turborah.toxo.r4:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean"	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191014_Toxoplasma_TMT_FullExperiment unique_peptides	20191014_Toxoplasma_TMT_FullExperiment numSpectra	20191014_Toxoplasma_TMT_FullExperiment totalIntensity	20191014_Toxoplasma_TMT_FullExperiment pct_cov
0	0.471	-0.985	3.136	2.943	3.286	2.983	3.272	3.82	3.146	4.071	P28482	P28482	1	11	7	7	P28482|P28482-2|P27361|P27361-3|E9PQW4|P27361-2|E9PJF0|B3KR49|E9PBK7	HUMAN	41788.3	19.1	1561	1561.1	87.23	87.23	Mitogen-activated protein kinase 1	7	11	1.46E+09	19.10%
0	0.431	0	4.104	2.314	4.188	2.216	4.178	4.245	4.147	4.424	TGGT1_203600-t26_1-p1	TGGT1_203600	1	9	6	6	TGGT1_203600-t26_1-p1	Toxoplasma_gondii_GT1	48116.9	19.1	1562	1562.1	87.17	87.17	TGGT1_203600	6	9	1.19E+09	19.10%
0	1.242	-1.045	2.794	1.635	2.616	1.901	2.793	2.82	2.634	2.875	P04075-2	P04075-2	1	10	7	7	P04075-2|J3KPS3|P04075|P00883|H3BQN4	HUMAN	45716.3	16	1563	1563.1	87.11	87.11	Isoform 2 of Fructose-bisphosphate aldolase A	7	10	6.88E+08	16.00%
0.266	0.226	0	2.07	1.566	2.083	2.249	2.183	3.194	2.391	3.344	O95817	O95817	1	13	6	6	O95817	HUMAN	61764.7	16.3	1564	1564.1	87.07	87.07	BAG family molecular chaperone regulator 3	6	13	4.33E+08	16.30%
0	0.689	-0.852	3.32	3.534	3.107	3.449	3.353	4.178	3.242	4.317	P0C7U0	P0C7U0	1	9	6	3	P0C7U0	HUMAN	91559.3	10	1565	1565.1	87.07	42.91	Protein ELFN1	6	9	5.69E+08	10.00%
0	0.665	-0.856	3.507	3.953	3.701	3.937	3.772	4.193	3.765	4.247	Q5R3F8	Q5R3F8	1	3	5	2	Q5R3F8	HUMAN	90769.3	6.3	1565	1565.2	68.27	24.11	Protein phosphatase 1 regulatory subunit 29	2	3	6.43E+08	2.10%
0	0.547	-0.852	3.447	3.638	3.49	3.659	3.559	4.133	3.642	4.264	Q8TEH3	Q8TEH3	1	7	7	7	Q8TEH3|Q8TEH3-6|Q8TEH3-7|Q8TEH3-2|Q8TEH3-5|Q8TEH3-3|Q8TEH3-4|A0A0A0MS48	HUMAN	111202.8	9.6	1566	1566.1	87.06	87.06	DENN domain-containing protein 1A	7	7	4.61E+08	9.60%
0	0.225	-1.496	3.285	3.415	3.27	3.27	3.283	3.771	3.342	3.886	Q96DF8	Q96DF8	1	9	5	5	Q96DF8|F8WEF8	HUMAN	52624.2	18.4	1567	1567.1	87.06	87.06	Protein DGCR14	5	9	2.41E+08	18.40%
0.002	0.001	-0.508	4.433	4.273	4.423	4.65	4.74	4.563	4.585	4.716	Q99633	Q99633	1	8	6	6	Q99633	HUMAN	40030.2	24.5	1568	1568.1	87.04	87.04	Pre-mRNA-splicing factor 18	6	8	5.94E+08	24.50%
0.061	0	-1.115	4.68	4.433	4.67	4.785	4.593	4.469	4.652	4.199	Q9UBS9	Q9UBS9	1	9	6	6	Q9UBS9|Q9UBS9-2|B4DYM4	HUMAN	140682.9	4.6	1569	1569.1	87.03	87.03	SUN domain-containing ossification factor	6	9	5.32E+08	4.60%
0.489	0	-0.299	1.535	1.564	1.628	1.839	1.554	2.458	1.382	2.439	Q07666	Q07666	1	10	7	7	Q07666|Q07666-2|Q07666-3|Q5VWX1	HUMAN	48340.6	10.6	1570	1570.1	86.88	86.88	KH domain-containing RNA-binding signal transduction-associated protein 1	7	10	8.52E+08	10.60%
0	0.356	-0.322	3.067	2.973	3.13	3.089	3.135	4.513	3.056	4.4	Q9BUN8	Q9BUN8	1	15	6	6	Q9BUN8|Q9BUN8-2|B4E1G1|E5RGY0	HUMAN	28914.4	25.4	1571	1571.1	86.86	86.86	Derlin-1	6	15	3.82E+09	25.40%
0	0.417	-0.891	3.557	3.19	3.649	3.62	3.719	4.034	3.696	4.171	P38435	P38435	1	10	7	7	P38435|P38435-2|F8WDU9	HUMAN	88129.8	11.2	1572	1572.1	86.67	86.67	Vitamin K-dependent gamma-carboxylase	7	10	4.47E+08	11.20%
0.143	0.213	-0.473	3.527	2.962	3.542	3.582	3.582	4.015	3.519	4.255	P17302	P17302	1	6	5	5	P17302	HUMAN	43521.1	17.2	1573	1573.1	86.59	86.59	Gap junction alpha-1 protein	5	6	2.75E+08	17.20%
0	0.133	-0.373	3.44	3.756	3.528	3.8	3.572	3.91	3.553	4.214	Q5TGY3	Q5TGY3	1	9	6	6	Q5TGY3	HUMAN	170057.9	5.4	1574	1574.1	86.57	86.57	AT-hook DNA-binding motif-containing protein 1	6	9	5.79E+08	5.40%
0	0.457	-0.231	1.772	1.649	1.822	2.114	1.891	1.944	1.809	1.84	P61254	P61254	1	19	8	8	P61254|Q9UNX3|J3QQV1|J3QQQ9	HUMAN	17257.9	31	1575	1575.1	86.56	86.56	60S ribosomal protein L26	9	19	1.84E+09	31.00%
0	0.889	-0.22	2.784	3.368	2.877	2.5	2.731	4.081	2.463	4.122	Q9P2D3	Q9P2D3	1	5	5	5	Q9P2D3|Q9P2D3-3|Q9P2D3-2	HUMAN	226980	3.5	1576	1576.1	86.44	86.44	HEAT repeat-containing protein 5B	5	5	76500000	3.50%
-0.039	2.693	-0.466	5.219	3.997	3.771	4.043	3.646	4.016	3.891	4.23	Q9UBD5-2	Q9UBD5-2	1	7	5	5	Q9UBD5-2|Q9UBD5|Q9UBD5-3	HUMAN	83407.7	9.8	1577	1577.1	86.34	86.34	Isoform 2 of Origin recognition complex subunit 3	5	7	1.73E+08	9.80%
0.336	0	-1.129	2.122	2.12	2.303	2.42	2.06	3.222	2.262	3.139	P07910	P07910	1	13	7	7	P07910|G3V2Q1|P07910-2|G3V4C1|B4DY08|B2R5W2|G3V576|P07910-4|P07910-3|B4DSU6|A0A0G2JPF8|B7ZW38|O60812|B2RXH8|A0A0G2JNQ3	HUMAN	33726.5	25.4	1578	1578.1	86.1	86.1	Heterogeneous nuclear ribonucleoproteins C1/C2	7	13	3.00E+09	25.40%
0	0.971	-0.454	3.382	3.333	3.209	3.257	3.456	4.67	3.249	4.588	Q9BT25	Q9BT25	1	10	5	5	Q9BT25|Q9BT25-3|Q9BT25-2	HUMAN	44970.7	17.8	1579	1579.1	85.85	85.85	HAUS augmin-like complex subunit 8	5	10	6.36E+08	17.80%
0	0.754	-0.964	3.176	2.982	3.244	3.125	3.19	5.178	3.226	5.096	Q9H1A4	Q9H1A4	1	9	7	7	Q9H1A4	HUMAN	218664.2	4.7	1580	1580.1	85.76	85.76	Anaphase-promoting complex subunit 1	7	9	1.47E+09	4.70%
0	0.682	-1.522	2.184	2.051	2.314	2.198	2.216	3.145	2.231	3.367	O75083	O75083	1	5	5	5	O75083|O75083-3	HUMAN	66876.9	12.2	1581	1581.1	85.64	85.64	WD repeat-containing protein 1	5	5	1.63E+08	12.20%
0	0.566	-0.977	2.57	2.477	2.609	2.634	2.736	4.021	2.585	4.191	O75718	O75718	1	10	7	7	O75718|C9JP16	HUMAN	47188.6	16.7	1582	1582.1	85.62	85.62	Cartilage-associated protein	7	10	2.07E+09	16.70%
0	1.032	-0.151	2.358	2.262	2.413	2.084	2.507	4.723	2.17	4.902	Q9BZL4	Q9BZL4	1	11	7	7	Q9BZL4|Q9BZL4-4|Q9BZL4-3|Q9BZL4-5|Q9BZL4-2	HUMAN	85336.2	11.7	1583	1583.1	85.62	85.62	Protein phosphatase 1 regulatory subunit 12C	7	11	3.25E+08	11.70%
0	0.711	-1.773	2.532	2.137	2.509	2.621	2.555	3.93	2.571	3.862	Q6DKI1	Q6DKI1	1	7	6	6	Q6DKI1|Q6DKI1-2	HUMAN	28774.6	27.6	1584	1584.1	85.58	85.58	60S ribosomal protein L7-like 1	6	7	3.36E+08	27.60%
0.018	1.047	-0.779	3.157	2.961	3.528	3.319	3.542	3.597	3.601	3.933	Q9Y426	Q9Y426	1	8	6	6	Q9Y426|Q9Y426-3|Q9Y426-2	HUMAN	76045.3	13.3	1585	1585.1	85.5	85.5	C2 domain-containing protein 2	6	8	8.42E+08	13.30%
0.534	0	-0.735	2.03	2.091	2.194	2.248	2.078	3.2	2.19	3.35	D6RGG3	D6RGG3	1	9	7	7	D6RGG3|Q99715|Q99715-4|Q99715-2|A0A087X0A8	HUMAN	334393.9	2.7	1586	1586.1	85.2	85.2	Collagen alpha-1(XII) chain	7	9	7.26E+08	2.70%
0	0.739	-0.164	2.13	1.961	2.416	2.409	2.296	3.554	2.358	4.636	Q96T37	Q96T37	1	12	7	7	Q96T37|Q96T37-3|Q96T37-2|A0A087WWP4|Q96T37-4|Q8NDT2|Q8NDT2-2	HUMAN	107414.9	11.3	1587	1587.1	85.08	85.08	Putative RNA-binding protein 15	7	12	7.04E+08	11.30%
0.211	0	-0.465	3.864	3.918	4.023	4.317	4.034	2.905	4.084	3.249	O95218	O95218	1	15	6	6	O95218|O95218-2	HUMAN	37860.2	17.5	1588	1588.1	85.04	85.04	Zinc finger Ran-binding domain-containing protein 2	6	15	9.33E+08	17.50%
0	0.762	-0.754	2.5	2.693	2.601	2.528	2.714	4.52	2.617	4.395	Q9BX66-12	Q9BX66-12	1	10	9	9	Q9BX66-12|Q9BX66-5|Q9BX66-6|Q9BX66-8|Q9BX66-9|Q9BX66|Q9BX66-11|Q9BX66-2|Q9BX66-3|Q9BX66-10|Q9BX66-4|Q9BX66-7	HUMAN	144537.7	9.5	1589	1589.1	84.97	84.97	Isoform 12 of Sorbin and SH3 domain-containing protein 1	9	10	3.28E+08	9.50%
0.097	0	-0.959	3.524	3.542	3.338	3.481	3.849	5.145	3.606	5.136	Q9NXR7	Q9NXR7	1	8	6	6	Q9NXR7|Q9NXR7-1|Q9NXR7-3|Q9NXR7-4	HUMAN	44007.3	18.5	1590	1590.1	84.92	84.92	BRISC and BRCA1-A complex member 2	6	8	4.32E+08	18.50%
0	0.856	-1.287	3.605	3.82	3.718	3.888	3.772	4.379	3.686	4.042	P62906	P62906	1	11	5	5	P62906	HUMAN	25002	27.1	1591	1591.1	84.78	84.78	60S ribosomal protein L10a	5	11	1.64E+09	27.10%
0	0.537	-1.102	2.918	2.804	3.202	2.948	3.048	3.875	2.997	4.01	O94887	O94887	1	7	7	7	O94887|O94887-2|O94887-3	HUMAN	120799.1	7.5	1592	1592.1	84.67	84.67	FERM ARHGEF and pleckstrin domain-containing protein 2	7	7	5.75E+08	7.50%
0	0.624	-0.599	3.031	2.73	3.054	3.01	3.186	4.338	3.097	4.456	Q14004	Q14004	1	9	5	5	Q14004|Q14004-2|A0A087X209|Q9BVE2|Q9NYV4|Q9NYV4-2|Q9NYV4-3	HUMAN	165662	4.7	1593	1593.1	84.67	84.67	Cyclin-dependent kinase 13	5	9	9.46E+08	4.70%
0	0.519	-0.675	2.527	0.16	2.22	0.225	2.411	2.955	2.518	3.124	TGGT1_313390-t26_1-p1	TGGT1_313390	1	10	6	6	TGGT1_313390-t26_1-p1	Toxoplasma_gondii_GT1	36869.8	19.8	1594	1594.1	84.61	84.61	TGGT1_313390	6	10	1.30E+09	19.80%
0.011	0.139	-0.938	3.214	3.249	3.283	3.574	3.4	4.496	3.306	4.722	Q13185	Q13185	1	11	5	4	Q13185|P83916|K7ELA4|B8ZZ43	HUMAN	20982.2	36.6	1595	1595.1	84.27	70.17	Chromobox protein homolog 3	5	11	8.70E+08	36.60%
0.2	0	-0.815	2.611	2.767	2.621	2.874	2.679	3.113	2.586	3.272	P45973	P45973	1	7	4	3	P45973	HUMAN	22395.7	27.2	1595	1595.2	65.36	51.26	Chromobox protein homolog 5	3	7	1.40E+08	20.90%
0.033	0.029	-1.555	3.815	3.794	3.637	3.784	3.878	3.975	3.739	4.118	Q96B96-2	Q96B96-2	1	9	5	5	Q96B96-2|I3NI23|Q96B96|I3L288	HUMAN	20214.4	24.3	1596	1596.1	84.23	84.23	Isoform 2 of Promethin	5	9	7.93E+08	24.30%
0.296	0	-1.533	2.902	2.674	3.039	3.034	3.093	2.845	2.924	2.937	P27824-2	P27824-2	1	10	5	5	P27824-2|P27824|P27824-3|D6RD16	HUMAN	72015	11.6	1597	1597.1	84.14	84.14	Isoform 2 of Calnexin	5	10	6.62E+08	11.60%
0	0.427	-1.115	3.878	3.538	3.933	3.878	3.92	4.28	3.829	4.293	G3V3A4	G3V3A4	1	10	7	7	G3V3A4|Q13573|G3V4X8	HUMAN	65561.4	18.7	1598	1598.1	84.12	84.12	SNW domain-containing protein 1	7	10	3.10E+08	18.70%
0	0.485	-1.102	2.794	2.987	3.064	3.425	3.04	3.928	2.986	4.081	Q9HCH0	Q9HCH0	1	7	7	7	Q9HCH0|Q9HCH0-3|Q9HCH0-2	HUMAN	140323.1	6.3	1599	1599.1	84.06	84.06	Nck-associated protein 5-like	7	7	1.60E+08	6.30%
0	0.693	-0.705	2.169	2.302	2.688	2.4	2.572	4.517	2.509	4.643	Q8N5W9	Q8N5W9	1	13	5	5	Q8N5W9	HUMAN	23223.8	40.1	1600	1600.1	84.04	84.04	Refilin-B	5	13	3.19E+08	40.10%
0	0	-0.262	2.779	2.565	2.671	2.806	2.702	4.164	2.832	4.204	Q9Y4K4	Q9Y4K4	1	8	6	6	Q9Y4K4|A0A0A0MQR1|G3V4Q4	HUMAN	96122.2	8.3	1601	1601.1	83.88	83.88	Mitogen-activated protein kinase kinase kinase kinase 5	6	8	4.82E+08	8.30%
0.22	0	-0.775	2.742	4.59	2.96	3.149	3.015	3.179	3.877	3.305	Q9NZV1	Q9NZV1	1	8	6	6	Q9NZV1	HUMAN	121153.3	7.3	1602	1602.1	83.78	83.78	Cysteine-rich motor neuron 1 protein	6	8	1.50E+08	7.30%
0	1.3	-0.93	3.323	2.857	3.252	3.075	3.468	5.178	3.08	5.266	P21291	P21291	1	10	6	6	P21291|E9PS42|E9PP21	HUMAN	21422.8	35.7	1603	1603.1	83.67	83.67	Cysteine and glycine-rich protein 1	6	10	3.57E+08	35.70%
0	0.466	0	2.457	2.282	2.217	2.08	2.219	2.927	2.13	2.899	Q96JB2	Q96JB2	1	9	6	6	Q96JB2|Q96JB2-2	HUMAN	95064.1	9.6	1604	1604.1	83.64	83.64	Conserved oligomeric Golgi complex subunit 3	6	9	4.82E+08	9.60%
0	0.551	-1.043	2.25	2.231	2.356	2.37	2.502	3.9	2.6	3.944	O75569	O75569	1	8	5	5	O75569|O75569-2|O75569-3|G5E9Q4|F8WEG8	HUMAN	34860	21.4	1605	1605.1	83.31	83.31	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	5	8	2.23E+08	21.40%
0	0.372	-0.681	3.712	3.432	3.687	3.643	3.773	3.805	3.683	3.934	Q9UL25	Q9UL25	1	13	6	6	Q9UL25	HUMAN	24746.5	29.7	1606	1606.1	83.17	83.17	Ras-related protein Rab-21	6	13	6.58E+08	29.70%
0	0.989	-0.594	2.868	2.509	2.927	2.534	2.959	5.386	2.829	5.419	Q9UJW0-3	Q9UJW0-3	1	7	6	6	Q9UJW0-3|Q9UJW0|Q9UJW0-2|E5RI97	HUMAN	54064	19.9	1607	1607.1	83.14	83.14	Isoform 3 of Dynactin subunit 4	6	7	3.60E+08	19.90%
0	0.737	-0.86	2.712	2.65	2.585	2.664	2.506	4.416	2.698	4.611	Q9H7E2-3	Q9H7E2-3	1	8	6	6	Q9H7E2-3|Q9H7E2|Q9H7E2-2	HUMAN	83500.9	11.1	1608	1608.1	83.04	83.04	Isoform 3 of Tudor domain-containing protein 3	6	8	4.36E+08	11.10%
0	0.442	-0.504	1.939	0.819	2.017	1.075	2.148	3.056	1.903	3.097	TGGT1_284560-t26_1-p1	TGGT1_284560	1	14	5	5	TGGT1_284560-t26_1-p1	Toxoplasma_gondii_GT1	21709	39.4	1609	1609.1	82.99	82.99	TGGT1_284560	5	14	3.61E+09	39.40%
0	0.522	-1.004	1.213	-0.188	0.717	-0.026	0.769	1.339	0.685	1.42	TGGT1_263320-t26_1-p1	TGGT1_263320	1	11	7	7	TGGT1_263320-t26_1-p1	Toxoplasma_gondii_GT1	42193.7	22.3	1610	1610.1	82.75	82.75	TGGT1_263320	7	11	2.49E+08	22.30%
0.386	0.06	-0.653	2.718	2.558	2.621	2.63	2.787	3.62	2.57	3.726	O14558	O14558	1	11	4	4	O14558|K7EP04	HUMAN	17192.3	38.1	1611	1611.1	82.71	82.71	Heat shock protein beta-6	4	11	1.08E+09	38.10%
0	0.537	-0.187	2.977	2.74	3.186	2.993	3.125	4.614	2.926	4.75	C9J7E5	C9J7E5	1	7	6	6	C9J7E5|Q9Y5L0-1|Q9Y5L0|Q9Y5L0-3|E9PFH4|Q9Y5L0-5	HUMAN	109985.9	8.1	1612	1612.1	82.7	82.7	Transportin-3	6	7	2.43E+08	8.10%
0	0.65	-0.682	2.869	2.642	2.859	2.755	2.767	4.021	2.786	4.187	P52292	P52292	1	8	5	5	P52292	HUMAN	58203.2	13	1613	1613.1	82.68	82.68	Importin subunit alpha-1	5	8	3.33E+08	13.00%
0	0.411	-0.297	3.465	3.261	3.52	3.225	3.615	4.222	3.594	4.285	P46109	P46109	1	6	6	6	P46109	HUMAN	33890.5	18.1	1614	1614.1	82.64	82.64	Crk-like protein	6	6	1.84E+08	18.10%
0	0.597	-0.976	2.751	2.668	2.937	3.015	2.878	3.845	2.873	3.919	Q9UBM7	Q9UBM7	1	14	7	7	Q9UBM7	HUMAN	55230.1	12.6	1615	1615.1	82.55	82.55	7-dehydrocholesterol reductase	7	14	2.00E+09	12.60%
0.067	0	-0.493	1.39	0.977	1.509	1.104	1.091	1.538	1.186	1.742	P04181	P04181	1	9	6	6	P04181|P04181-2	HUMAN	48876.3	17.7	1616	1616.1	82.38	82.38	Ornithine aminotransferase mitochondrial	6	9	3.27E+08	17.70%
0	0.843	-0.282	3.224	3.098	3.067	3.114	3.23	4.053	3.377	4.485	Q5VUB5	Q5VUB5	1	9	6	5	Q5VUB5	HUMAN	98537	7.9	1617	1617.1	82.2	64.92	Protein FAM171A1	6	9	3.25E+08	7.90%
0	0.285	-0.283	2.486	2.685	2.587	2.561	2.723	4.067	2.783	4.259	A8MVW0	A8MVW0	1	3	4	3	A8MVW0	HUMAN	87775.7	7.3	1617	1617.2	60.09	42.81	Protein FAM171A2	3	3	18800000	6.20%
0	0.382	-0.727	2.96	2.91	3.129	2.987	3.015	4.418	3.18	4.478	Q9Y4E6	Q9Y4E6	1	10	7	7	Q9Y4E6|Q9Y4E6-2|A2RRE0	HUMAN	166260.7	6.5	1618	1618.1	82.16	82.16	WD repeat-containing protein 7	7	10	2.77E+08	6.50%
0	1.167	0	3.796	3.637	3.809	3.708	3.634	6.099	3.635	6.03	O95163	O95163	1	7	6	6	O95163|F5H2T0	HUMAN	151906.1	5.1	1619	1619.1	82.12	82.12	Elongator complex protein 1	6	7	1.25E+08	5.10%
0	0.466	-0.61	2.631	2.468	2.698	2.839	2.741	3.66	2.638	3.747	P63173	P63173	1	19	5	5	P63173|J3QL01|J3KT73	HUMAN	8274.8	52.8	1620	1620.1	82.12	82.12	60S ribosomal protein L38	5	19	2.67E+09	52.80%
0	0.162	-1.083	3.02	2.929	3.282	3.202	3.093	4.01	3.278	4.119	Q7Z3B4	Q7Z3B4	1	11	6	6	Q7Z3B4|Q7Z3B4-3|Q7Z3B4-2	HUMAN	55548.5	12.2	1621	1621.1	82.11	82.11	Nucleoporin p54	6	11	7.12E+08	12.20%
0.036	0.366	-0.383	3.803	3.656	3.818	3.849	3.887	3.93	3.839	4.171	Q86UL3	Q86UL3	1	10	6	6	Q86UL3|E5RHA6|Q53EU6	HUMAN	52526.6	19.5	1622	1622.1	82.07	82.07	Glycerol-3-phosphate acyltransferase 4	6	10	4.93E+08	19.50%
0	0.273	-0.473	1.283	1.474	1.436	1.36	1.132	1.556	1.459	1.717	Q96HJ9-2	Q96HJ9-2	1	9	7	7	Q96HJ9-2|Q9Y383|Q9Y383-2|Q9Y383-3|Q9NQ29|Q9NQ29-3|Q9NQ29-2|A8MYV2	HUMAN	54793.4	16.5	1623	1623.1	82.04	82.04	Isoform 2 of Protein FMC1 homolog	7	9	4.66E+08	16.50%
1.523	-0.009	0	1.183	1.689	1.57	2.233	1.017	1.396	1.136	1.783	Q9BXX0	Q9BXX0	1	7	5	5	Q9BXX0	HUMAN	116940.4	8.2	1624	1624.1	81.72	81.72	EMILIN-2	5	7	4.52E+08	8.20%
0	0.317	0	4.089	4.103	4.248	4.396	4.415	4.206	4.31	4.257	P0CG08	P0CG08	1	13	4	4	P0CG08|B7ZAQ6-3|B7ZAQ6-2|E9PKY3	HUMAN	53201.3	11.4	1625	1625.1	81.63	81.63	Golgi pH regulator B	4	13	9.61E+08	11.40%
0	0.249	-1.1	3.221	3.068	3.272	3.301	3.347	4.67	3.3	4.73	Q96I25	Q96I25	1	7	5	5	Q96I25	HUMAN	45188.9	14.9	1626	1626.1	81.45	81.45	Splicing factor 45	5	7	3.29E+08	14.90%
0	0.549	-1.591	2.437	1.972	2.262	2.321	2.289	3.281	2.099	3.452	O00299	O00299	1	11	7	7	O00299	HUMAN	27264.5	28.2	1627	1627.1	81.37	81.37	Chloride intracellular channel protein 1	7	11	1.10E+09	28.20%
0	0.485	-0.894	2.818	2.722	3.25	3.067	3.172	3.598	3.136	3.624	Q9Y673	Q9Y673	1	10	6	6	Q9Y673|Q9Y673-2	HUMAN	37173.7	24.3	1628	1628.1	81.32	81.32	Dolichyl-phosphate beta-glucosyltransferase	6	10	2.63E+08	24.30%
0	0.645	-0.829	3.577	2.964	3.686	3.178	3.852	4.256	3.806	4.366	P54619-3	P54619-3	1	9	5	5	P54619-3|P54619|P54619-2|F8VYY9|Q9UGJ0|Q9UGJ0-3|E9PGP6|Q9UGJ0-2	HUMAN	38760.1	16.7	1629	1629.1	81.3	81.3	Isoform 3 of 5'-AMP-activated protein kinase subunit gamma-1	5	9	1.91E+08	16.70%
0	1.128	-0.474	4.165	4.167	4.122	4.047	4.087	5.56	4.29	5.658	C9JC87	C9JC87	1	9	6	6	C9JC87|O00189|C9IZL5|F8WCR6|F8WCC5|F8WDR3	HUMAN	50975.2	13.6	1630	1630.1	81.21	81.21	AP-4 complex subunit mu-1	6	9	2.04E+09	13.60%
0	0.359	-0.293	3.139	3.439	3.285	3.378	3.196	4.986	3.395	5.044	O00743-3	O00743-3	1	6	6	6	O00743-3|O00743|O00743-2|TGGT1_286210-t26_1-p1	HUMAN	39744.8	23	1631	1631.1	81.21	81.21	Isoform 3 of Serine/threonine-protein phosphatase 6 catalytic subunit	6	6	1.95E+08	23.00%
-0.362	0.537	0	2.971	2.868	3.202	3.334	3.294	5.8	3.277	5.846	P11274	P11274	1	9	6	5	P11274|P11274-2	HUMAN	143843.8	5.6	1632	1632.1	81.02	68.52	Breakpoint cluster region protein	6	9	7.30E+08	5.60%
	0.812	-0.273	2.229	2.267	2.664	2.925	2.616	2.68	2.363	2.897	A0A1C7CYZ0	A0A1C7CYZ0	1	1	2	1	A0A1C7CYZ0|Q12979|Q12979-2|Q12979-4|B7Z683|Q12979-3	HUMAN	99488.1	2.1	1632	1632.2	17.72	5.22	Active breakpoint cluster region-related protein	1	1	46800000	1.00%
0	0	-0.71	3.157	3.701	3.331	3.825	3.516	2.938	3.567	3.295	Q96CC6	Q96CC6	1	9	6	6	Q96CC6|F8WBS4|F8WCF7	HUMAN	98996.6	8.3	1633	1633.1	80.99	80.99	Inactive rhomboid protein 1	6	9	3.50E+08	8.30%
0	0.895	-0.481	3.906	3.327	4.014	3.623	3.964	6.056	4.028	6.259	O75330-3	O75330-3	1	9	8	8	O75330-3|O75330|O75330-2|O75330-4	HUMAN	84626.5	14.4	1634	1634.1	80.98	80.98	Isoform 3 of Hyaluronan mediated motility receptor	8	9	1.87E+08	14.40%
0	0.18	-0.85	2.315	2.318	2.317	2.382	2.246	3.839	2.272	3.809	Q15654	Q15654	1	10	5	5	Q15654	HUMAN	51770.4	13.4	1635	1635.1	80.79	80.79	Thyroid receptor-interacting protein 6	5	10	7.25E+08	13.40%
0	0.333	-0.618	3.066	2.82	3.084	3.179	3.121	4.095	3.099	4.104	Q9Y4C8	Q9Y4C8	1	8	6	6	Q9Y4C8	HUMAN	107786.2	8.3	1636	1636.1	80.77	80.77	Probable RNA-binding protein 19	6	8	1.22E+08	8.30%
0	0.958	-0.478	3.178	3.379	3.159	3.297	3.331	5.362	3.47	5.397	B2RTY4-4	B2RTY4-4	1	9	8	8	B2RTY4-4|B2RTY4|B2RTY4-2|H3BRD5|B2RTY4-5|B2RTY4-3	HUMAN	302881	2.4	1637	1637.1	80.73	80.73	Isoform 4 of Unconventional myosin-IXa	8	9	2.62E+08	2.40%
0.673	0	-1.288	4.068	3.972	4.004	4.193	4.167	3.322	3.998	3.473	Q9H3N1	Q9H3N1	1	8	5	5	Q9H3N1|G3V448	HUMAN	32190	21	1638	1638.1	80.63	80.63	Thioredoxin-related transmembrane protein 1	5	8	1.32E+09	21.00%
0.22	0	-1.109	3.695	3.824	3.933	3.883	4.022	3.539	3.982	3.838	Q8N6S5	Q8N6S5	1	15	5	5	Q8N6S5	HUMAN	24961.1	25.6	1639	1639.1	80.62	80.62	ADP-ribosylation factor-like protein 6-interacting protein 6	5	15	1.93E+09	25.60%
0	0.588	-1.203	3.22	1.742	3.09	1.645	2.97	3.716	3.069	3.548	TGGT1_314810-t26_1-p1	TGGT1_314810	1	10	6	6	TGGT1_314810-t26_1-p1	Toxoplasma_gondii_GT1	30178.1	27.9	1640	1640.1	80.47	80.47	TGGT1_314810	6	10	1.10E+09	27.90%
0	0.446	-0.428	2.702	0.705	2.998	0.845	2.936	4.077	2.722	4.101	TGGT1_213350-t26_1-p1	TGGT1_213350	1	18	5	5	TGGT1_213350-t26_1-p1	Toxoplasma_gondii_GT1	17213.9	32.6	1641	1641.1	80.41	80.41	TGGT1_213350	5	18	2.36E+09	32.60%
0	0.207	-0.238	2.873	3.086	3.057	3.432	2.386	2.241	2.629	2.559	Q9H0H5	Q9H0H5	1	9	6	6	Q9H0H5|F8VZ41	HUMAN	71709.9	12.3	1642	1642.1	80.39	80.39	Rac GTPase-activating protein 1	6	9	2.45E+08	12.30%
