20191004_Toxoplasma_PMV_TMT, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 128N:126C.127C.127N, turborah.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 128C:126C.127C.127N, turborah.mock.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 129N:126C.127C.127N, turborah.toxo.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 129C:126C.127C.127N, turborah.mock.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 130N:126C.127C.127N, turborah.toxo.r3:control.mean	20191004_Toxoplasma_PMV_TMT, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 131N:126C.127C.127N, turborah.toxo.r4:control.mean	20191004_Toxoplasma_PMV_TMT, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191004_Toxoplasma_PMV_TMT unique_peptides	20191004_Toxoplasma_PMV_TMT numSpectra	20191004_Toxoplasma_PMV_TMT totalIntensity	20191004_Toxoplasma_PMV_TMT pct_cov
0	0.474	-0.999	2.665	2.78	2.645	2.937	2.705	4.095	2.946	4.265	Q15717-2	Q15717-2	1	3	3	3	Q15717-2|Q15717|M0QZR9	HUMAN	39223.8	9.9	1306	1306.1	37.87	37.87	Isoform 2 of ELAV-like protein 1	3	3	4.61e+08	9.9%
0	0.749	-0.661	2.859	2.875	3.113	3.046	3.068	4.923	3.069	4.83	Q13042	Q13042	1	3	3	3	Q13042|Q13042-2|Q13042-3|Q13042-4|Q5T8C6	HUMAN	72453.1	6.6	1307	1307.1	37.77	37.77	Cell division cycle protein 16 homolog	3	3	73600000	6.6%
1.152	0	-0.144	1.286	1.605	1.715	2.214	1.278	1.716	1.264	1.786	Q9BXX0	Q9BXX0	1	3	3	3	Q9BXX0	HUMAN	116940.4	3.3	1308	1308.1	37.76	37.76	EMILIN-2	3	3	2.7e+08	3.3%
0	0.895	-0.188	3.219	3.307	3.311	3.599	3.456	5.609	3.331	5.816	O94885	O94885	1	4	4	4	O94885|A0A087WW74|Q9NSI8-3|Q9NSI8|S6FRS6	HUMAN	137734.8	3.8	1309	1309.1	37.66	37.66	SAM and SH3 domain-containing protein 1	4	4	1.37e+08	3.8%
0	0.525	-1.041	3.096	3.062	3.249	3.305	3.268	4.951	3.279	4.929	O75592	O75592	1	3	3	3	O75592|O75592-2|A0A0C4DGY7	HUMAN	518176.7	0.9	1310	1310.1	37.6	37.6	E3 ubiquitin-protein ligase MYCBP2	3	3	63100000	0.9%
0	0.698	-1.042	3.411	3.289	3.506	3.487	3.241	4.147	3.273	4.423	Q92734	Q92734	1	3	3	3	Q92734|Q92734-2|Q92734-3|Q92734-4	HUMAN	43504.2	6.2	1311	1311.1	37.55	37.55	Protein TFG	3	3	7.84e+08	6.2%
0	0.538	-0.447	2.868	2.813	2.919	2.996	2.999	2.956	2.898	3.071	P55287	P55287	1	4	3	3	P55287|P55287-2|H3BUU9	HUMAN	88420.1	2.8	1312	1312.1	37.53	37.53	Cadherin-11	3	4	1.23e+08	2.8%
-0.026	1.202	-0.914	3.574	3.651	3.93	4.164	3.928	5.664	3.857	5.805	Q96D71	Q96D71	1	3	3	3	Q96D71|Q96D71-3|Q96D71-4|E9PMG1|Q96D71-2	HUMAN	86831.7	5.7	1313	1313.1	37.52	37.52	RalBP1-associated Eps domain-containing protein 1	3	3	1.38e+08	5.7%
0	0.237	-0.193	2.519	2.476	2.708	2.612	2.665	3.461	2.596	3.568	P51571	P51571	1	4	3	3	P51571|A6NLM8	HUMAN	19169.4	17.3	1314	1314.1	37.49	37.49	Translocon-associated protein subunit delta	3	4	1.43e+09	17.3%
0	0.267	-0.964	3.289	3.2	3.297	3.23	3.392	3.542	3.3	3.737	O43752	O43752	1	3	2	2	O43752|O43752-2	HUMAN	29232.5	14.1	1315	1315.1	37.48	37.48	Syntaxin-6	2	3	4.39e+08	14.1%
0	0.551	-0.48	2.806	1.251	2.845	1.531	3.064	4.123	2.969	4.221	TGGT1_232710-t26_1-p1	TGGT1_232710-t26_1-p1	1	3	3	3	TGGT1_232710-t26_1-p1	Toxoplasma_gondii_GT1	29884.4	14.6	1316	1316.1	37.44	37.44	TGGT1_232710	3	3	1.54e+08	14.6%
0	0.341	-0.559	2.238	1.819	2.196	1.573	1.954	2.734	2.185	2.939	TGGT1_313010-t26_1-p1	TGGT1_313010-t26_1-p1	1	4	4	4	TGGT1_313010-t26_1-p1	Toxoplasma_gondii_GT1	53973.7	9.6	1317	1317.1	37.39	37.39	TGGT1_313010	4	4	76100000	9.6%
0	0.251	-0.924	2.231	2.235	2.279	2.266	2.11	2.927	2.184	3.093	P11387	P11387	1	4	4	4	P11387	HUMAN	91180.5	7.9	1318	1318.1	37.38	37.38	DNA topoisomerase 1	4	4	9.37e+08	7.9%
0	0.905	-0.93	3	3.138	3.136	3.149	3.026	4.129	2.973	4.386	Q6NUK1	Q6NUK1	1	3	3	3	Q6NUK1|Q6NUK1-2	HUMAN	53581.7	7.7	1319	1319.1	37.38	37.38	Calcium-binding mitochondrial carrier protein SCaMC-1	3	3	1.82e+08	7.7%
0.309	0	-1.304	2.108	2.056	2.081	2.222	2.155	3.148	2.032	3.305	Q99714	Q99714	1	3	3	3	Q99714|Q99714-2|Q5H928	HUMAN	27150.8	19.5	1320	1320.1	37.34	37.34	3-hydroxyacyl-CoA dehydrogenase type-2	3	3	1.41e+08	19.5%
0	0.793	-0.194	2.7	2.879	2.8	2.782	2.774	3.4	3.098	3.59	M0QZR4	M0QZR4	1	4	4	4	M0QZR4|Q92888-4|Q92888-3|Q92888|Q92888-2	HUMAN	109006.6	5.2	1321	1321.1	37.32	37.32	Rho guanine nucleotide exchange factor 1	4	4	33300000	5.2%
0	0.435	-0.113	2.817	2.96	3.07	2.969	2.843	4.864	2.993	4.952	Q8NEY1	Q8NEY1	1	5	4	4	Q8NEY1|Q8NEY1-3|Q8NEY1-2|A0A0A0MRJ3|Q8NEY1-4|Q8NEY1-7|Q8NEY1-6|Q8NEY1-5	HUMAN	203209.9	3.6	1322	1322.1	37.26	37.26	Neuron navigator 1	4	5	1.2e+08	3.6%
	0.219	-0.358	2.22	1.886	2.559	2.318	2.435	2.858	2.475	2.879	Q96HY6	Q96HY6	1	3	3	3	Q96HY6|Q96HY6-2|A0A0A0MRX2	HUMAN	35610.2	16.2	1323	1323.1	37.2	37.2	DDRGK domain-containing protein 1	3	3	62200000	16.2%
-0.025	0.589	-0.264	4.133	4.057	4.295	4.613	4.328	3.57	4.196	3.954	Q92545	Q92545	1	3	3	3	Q92545	HUMAN	205932.9	1.7	1324	1324.1	37.16	37.16	Transmembrane protein 131	3	3	4.02e+08	1.7%
0.144	0.301	-0.8	1.902	2.031	2.193	1.927	2.035	2.892	2.001	2.992	O95671	O95671	1	2	2	2	O95671|O95671-2|O95671-3	HUMAN	69597.2	5.4	1325	1325.1	37.09	37.09	N-acetylserotonin O-methyltransferase-like protein	2	2	3.5e+07	5.4%
0	0.492	-0.053	2.351	2.351	2.889	2.422	2.481	2.832	2.579	3.114	Q8NE86	Q8NE86	1	3	3	3	Q8NE86|Q8NE86-3|Q8NE86-2	HUMAN	40151.4	10.2	1326	1326.1	37.01	37.01	Calcium uniporter protein mitochondrial	3	3	7.76e+08	10.2%
-0.772	0.401		4.078	3.637	4.079	4.042	4.214	3.837	4.189	4.237	Q9NP80	Q9NP80	1	3	3	3	Q9NP80|Q9NP80-2|Q9NP80-3	HUMAN	89274	5.6	1327	1327.1	37	37	Calcium-independent phospholipase A2-gamma	3	3	85200000	5.6%
0.909	0.469	-0.725	4.188	4.221	4.311	4.212	4.56	3.304	4.378	3.626	Q765P7	Q765P7	1	3	3	3	Q765P7|A0A087WXN9|Q765P7-2	HUMAN	80498.5	5.8	1328	1328.1	36.98	36.98	MTSS1-like protein	3	3	1.03e+09	5.8%
0	0.91	-0.657	3.064	3.056	3.071	3.122	3.173	4.598	3.096	4.714	Q9NWZ8	Q9NWZ8	1	3	3	3	Q9NWZ8	HUMAN	28921.4	11.9	1329	1329.1	36.83	36.83	Gem-associated protein 8	3	3	1.56e+08	11.9%
0.67	0.684	-0.7	1.398	1.573	1.707	1.53	1.553	3.087	1.691	3.192	P55268	P55268	1	3	3	3	P55268	HUMAN	203109.5	2.5	1330	1330.1	36.73	36.73	Laminin subunit beta-2	3	3	6.5e+08	2.5%
0.151	0.326	-1.463	3.117	3.247	3.322	3.46	3.455	3.546	3.379	3.5	O75581	O75581	1	4	4	4	O75581|F5H7J9	HUMAN	183450	2.8	1331	1331.1	36.72	36.72	Low-density lipoprotein receptor-related protein 6	4	4	7.66e+08	2.8%
0	0.886	-0.088	3.197	3.459	3.436	3.119	3.474	5.275	3.229	5.313	Q5VYS8	Q5VYS8	1	3	3	3	Q5VYS8|Q5VYS8-6|Q5VYS8-4|Q5VYS8-2|Q5VYS8-3|Q5VYS8-5|Q5VYS9|X6R3Q3	HUMAN	173394.2	2.6	1332	1332.1	36.71	36.71	Terminal uridylyltransferase 7	3	3	3.33e+08	2.6%
0.012	0.281	-1.188	3.33	3.109	3.38	3.271	3.633	4.833	3.291	4.793	Q7Z401-2	Q7Z401-2	1	3	3	3	Q7Z401-2|Q7Z401|A0A0U1RR27	HUMAN	216381.5	3.2	1333	1333.1	36.7	36.7	Isoform 2 of C-myc promoter-binding protein	3	3	29900000	3.2%
0.041	0.24	-0.377	3.41	3.255	3.522	3.309	3.484	4.539	3.643	4.757	Q9UNH6-3	Q9UNH6-3	1	5	3	3	Q9UNH6-3|Q9UNH6|E9PNL2|Q9UNH6-2	HUMAN	51903.8	8.4	1334	1334.1	36.69	36.69	Isoform 3 of Sorting nexin-7	3	5	6.34e+08	8.4%
0	1.005	-0.361	2.541	2.544	2.84	2.563	2.613	3.467	2.483	3.521	P35222	P35222	1	3	3	3	P35222|B4DGU4	HUMAN	86122.7	4.3	1335	1335.1	36.67	36.67	Catenin beta-1	3	3	1.09e+08	4.3%
0	0.157	-0.475	3.104	3.018	3.086	3.114	3.485	4.752	3.161	4.908	Q9NXR7	Q9NXR7	1	3	3	3	Q9NXR7|Q9NXR7-1|Q9NXR7-3|Q9NXR7-4	HUMAN	44007.3	11.4	1336	1336.1	36.63	36.63	BRISC and BRCA1-A complex member 2	3	3	2.48e+08	11.4%
0	0.165	-0.797	0.819	-0.443	0.985	0.138	0.978	1.482	1.03	1.641	TGGT1_245620-t26_1-p1	TGGT1_245620-t26_1-p1	1	7	3	3	TGGT1_245620-t26_1-p1	Toxoplasma_gondii_GT1	17663.1	20.1	1337	1337.1	36.58	36.58	TGGT1_245620	3	7	2.81e+10	20.1%
0	0.469	-0.693	1.848	1.076	2.073	1.521	1.941	2.43	1.729	2.674	TGGT1_205250-t26_1-p1	TGGT1_205250-t26_1-p1	1	3	3	3	TGGT1_205250-t26_1-p1	Toxoplasma_gondii_GT1	62740.6	5.9	1338	1338.1	36.37	36.37	TGGT1_205250	3	3	26400000	5.9%
0.01	0.173	-0.636	2.84	2.634	3.028	2.878	3.073	4.379	2.984	4.329	Q13191	Q13191	1	3	3	3	Q13191|Q13191-2|Q13191-3|Q68CY2	HUMAN	110931.2	4	1339	1339.1	36.27	36.27	E3 ubiquitin-protein ligase CBL-B	3	3	38700000	4.0%
	0.261		2.739	2.906	2.23	2.284	2.551	3.335	2.59	3.38	Q14137	Q14137	1	2	2	2	Q14137|Q14137-2	HUMAN	84312.6	7.5	1340	1340.1	36.27	36.27	Ribosome biogenesis protein BOP1	2	2	9290000	7.5%
0	0.364	-1.003	3.228	3.005	3.209	2.843	3.045	3.643	2.981	3.593	Q8IXI1	Q8IXI1	1	3	3	2	Q8IXI1|Q8IXI2-3|Q8IXI2-7|Q8IXI2-2|Q8IXI2-5|Q8IXI2|H7BXZ6|Q8IXI2-4|Q8IXI2-6|Q8IXI1-2|A0A087X2C3	HUMAN	69143.5	7.6	1341	1341.1	36.24	25.81	Mitochondrial Rho GTPase 2	3	3	36100000	7.6%
0.617			2.282	2.646	2.523	2.378	2.476	3.837	2.67	3.784	Q9Y3L5	Q9Y3L5	1	1	2	1	Q9Y3L5|P10114|P61225|F6U784	HUMAN	20972.6	19.1	1341	1341.2	14.72	4.29	Ras-related protein Rap-2c	1	1	1100000	14.2%
0	0.502	-0.88	2.922	2.338	3.341	2.59	2.807	2.842	2.275	3.071	Q2M1P5	Q2M1P5	1	4	3	3	Q2M1P5	HUMAN	151497.3	3.1	1342	1342.1	36.17	36.17	Kinesin-like protein KIF7	3	4	1.22e+08	3.1%
0.18	0	-0.682	1.424	1.352	1.267	1.486	1.148	1.861	1.139	1.966	P38117-2	P38117-2	1	4	3	3	P38117-2|P38117|Q2TBV3	HUMAN	37776.1	10.4	1343	1343.1	36.16	36.16	Isoform 2 of Electron transfer flavoprotein subunit beta	3	4	43500000	10.4%
0	0.602	-0.17	2.783	2.793	2.683	2.675	2.864	3.617	2.874	3.731	Q9NP72-2	Q9NP72-2	1	2	2	2	Q9NP72-2|Q9NP72|Q9NP72-3|A0A087X163|Q5W0J0	HUMAN	26694.9	12.7	1344	1344.1	36.07	36.07	Isoform 2 of Ras-related protein Rab-18	2	2	2.49e+08	12.7%
0	0.092	-0.256	0.977	0.732	0.636	0.556	0.73	1.286	0.985	1.075	E9PR30	E9PR30	1	4	3	3	E9PR30|P62861	HUMAN	10904.6	12.2	1345	1345.1	36.06	36.06	40S ribosomal protein S30	3	4	1.36e+09	12.2%
0	0.536	-0.934	3.728	4.126	3.943	4.08	4.028	4.329	3.88	4.441	Q6ZVM7	Q6ZVM7	1	4	4	4	Q6ZVM7|Q6ZVM7-5|Q6ZVM7-3|Q6ZVM7-2|B7Z2U2|F5H3S6|Q6ZVM7-4	HUMAN	55897.7	8.8	1346	1346.1	36.05	36.05	TOM1-like protein 2	4	4	1.26e+09	8.8%
0.208	0	-0.493	2.742	2.86	2.918	3.037	2.958	4.551	2.693	4.297	Q12768	Q12768	1	3	3	3	Q12768|E7EQI7	HUMAN	135196.9	3.4	1347	1347.1	36.01	36.01	WASH complex subunit 5	3	3	2.22e+08	3.4%
0	0.583	-0.433	1.836	1.802	1.901	2.177	1.932	2.318	1.883	2.496	Q96HJ9-2	Q96HJ9-2	1	4	4	4	Q96HJ9-2|Q9Y383|Q9Y383-2|Q9Y383-3|Q9NQ29|Q9NQ29-3|Q9NQ29-2|A8MYV2	HUMAN	54793.4	7.6	1348	1348.1	35.96	35.96	Isoform 2 of Protein FMC1 homolog	4	4	1.79e+08	7.6%
0	0.397	-1.063	2.712	2.774	2.84	2.727	2.765	3.622	2.753	4.016	P50416	P50416	1	3	3	3	P50416|P50416-2	HUMAN	89050.7	5.4	1349	1349.1	35.94	35.94	Carnitine O-palmitoyltransferase 1 liver isoform	3	3	1.45e+08	5.4%
0	0	-0.783	3.971	3.774	3.903	3.966	4.018	2.93	3.937	3.482	O95218	O95218	1	3	3	3	O95218|O95218-2	HUMAN	37860.2	10	1350	1350.1	35.91	35.91	Zinc finger Ran-binding domain-containing protein 2	3	3	1.05e+08	10.0%
0	0.166	-0.236	3.219	3.362	3.456	3.352	3.443	4.086	3.399	4.153	Q13873	Q13873	1	4	4	4	Q13873|Q13873-2|A0A1W2PPB5	HUMAN	116511.6	4.8	1351	1351.1	35.91	35.91	Bone morphogenetic protein receptor type-2	4	4	88700000	4.8%
0.806		-0.795	4.109	0.023	4.222	0.62	4.585	3.452	4.372	3.365	TGGT1_310780-t26_1-p1	TGGT1_310780-t26_1-p1	1	3	2	2	TGGT1_310780-t26_1-p1	Toxoplasma_gondii_GT1	36397	13.9	1352	1352.1	35.83	35.83	TGGT1_310780	2	3	31800000	13.9%
0.124	0.445	-0.374	3.034	2.78	3.055	2.989	3.095	3.893	3.077	4.124	Q9Y2I7	Q9Y2I7	1	4	4	4	Q9Y2I7	HUMAN	239756.4	2	1353	1353.1	35.78	35.78	1-phosphatidylinositol 3-phosphate 5-kinase	4	4	1.72e+09	2.0%
-0.023	1.431	-0.717	2.569	2.762	2.169	2.423	2.051	3.674	2.364	3.62	Q9BSJ2-4	Q9BSJ2-4	1	4	4	4	Q9BSJ2-4|Q9BSJ2|F2Z2B9|Q9BSJ2-3|B3KTU7|R4GMM4	HUMAN	106367.6	5	1354	1354.1	35.71	35.71	Isoform 3 of Gamma-tubulin complex component 2	4	4	1.17e+08	5.0%
0	0.264	-0.289	2.207	2.509	2.574	2.742	2.514	3.575	2.341	3.691	Q9H0H5	Q9H0H5	1	4	4	4	Q9H0H5	HUMAN	71709.9	9.3	1355	1355.1	35.71	35.71	Rac GTPase-activating protein 1	4	4	74800000	9.3%
0.032	0.323	-1.313	2.736	2.703	2.703	2.741	2.894	4.312	2.785	4.543	Q9Y2W1	Q9Y2W1	1	2	2	2	Q9Y2W1	HUMAN	108720.9	2.5	1356	1356.1	35.63	35.63	Thyroid hormone receptor-associated protein 3	2	2	22500000	2.5%
0	0.624	-0.991	3.799	3.724	3.984	3.802	3.985	4.392	3.934	4.465	Q6ICB4	Q6ICB4	1	3	3	3	Q6ICB4	HUMAN	28793.9	16.2	1357	1357.1	35.62	35.62	Sesquipedalian-2	3	3	3.05e+08	16.2%
0	1.033	-1.049	1.555	1.971	1.736	2.152	1.926	3.598	1.674	3.863	Q8WUP2	Q8WUP2	1	2	2	2	Q8WUP2|Q8WUP2-3|Q8WUP2-2	HUMAN	42209.5	4.8	1358	1358.1	35.61	35.61	Filamin-binding LIM protein 1	2	2	31900000	4.8%
-0.137	0.29		1.52	1.504	1.729	1.487	1.627	3.058	1.68	3.233	Q6P3X3	Q6P3X3	1	3	3	3	Q6P3X3|F8WCH1	HUMAN	97942.9	6	1359	1359.1	35.59	35.59	Tetratricopeptide repeat protein 27	3	3	7.3e+07	6.0%
0	0.291	-0.512	0.251	0.263	0.786	1.155	0.513	0.229	0.584	0.329	Q8WXA9-2	Q8WXA9-2	1	2	2	2	Q8WXA9-2|Q8WXA9	HUMAN	71819.3	5.1	1360	1360.1	35.55	35.55	Isoform 2 of Splicing regulatory glutamine/lysine-rich protein 1	2	2	6.7e+07	5.1%
-0.524	0.976	0	3.367	3.541	3.478	3.557	3.312	4.423	3.63	4.61	Q5EB52	Q5EB52	1	3	3	3	Q5EB52|Q5EB52-2|C9JW74|Q5EB52-3	HUMAN	38886.4	18.5	1361	1361.1	35.53	35.53	Mesoderm-specific transcript homolog protein	3	3	1.41e+08	18.5%
0	0.486	-1.476	2.68	2.394	2.708	2.808	2.608	3.737	2.534	3.767	P18077	P18077	1	3	3	3	P18077|F8WB72|F8WBS5	HUMAN	12594.5	20.9	1362	1362.1	35.46	35.46	60S ribosomal protein L35a	3	3	1.56e+09	20.9%
0	0.088	-0.35	3.182	3.08	3.179	3.257	3.416	4.26	3.35	4.303	P86790	P86790	1	3	3	3	P86790	HUMAN	56321.6	9.9	1363	1363.1	35.46	35.46	Vacuolar fusion protein CCZ1 homolog B	3	3	25300000	9.9%
0	0.531	-0.609	3.636	3.694	3.611	3.737	3.406	2.727	3.425	2.887	Q8NCN4	Q8NCN4	1	3	3	3	Q8NCN4	HUMAN	78277	3.8	1364	1364.1	35.42	35.42	E3 ubiquitin-protein ligase RNF169	3	3	32600000	3.8%
0	0.439	-0.832	3.783	4.573	3.595	4.653	4.042	3.013	3.848	3.253	O75911	O75911	1	4	3	3	O75911	HUMAN	33947.2	13.5	1365	1365.1	35.4	35.4	Short-chain dehydrogenase/reductase 3	3	4	3.3e+08	13.5%
	1.041	-0.818	2.652	2.832	2.816	3.288	3.068	4.548	2.973	4.549	P30419	P30419	1	2	2	2	P30419|P30419-2|O60551|Q5VUC6	HUMAN	57147.5	6	1366	1366.1	35.39	35.39	Glycylpeptide N-tetradecanoyltransferase 1	2	2	60800000	6.0%
0.063	0.156	-0.473	2.198	2.366	2.371	2.329	2.416	3.236	2.192	3.308	P41214	P41214	1	2	2	2	P41214	HUMAN	65332.9	5.3	1367	1367.1	35.34	35.34	Eukaryotic translation initiation factor 2D	2	2	1.13e+08	5.3%
0	0.257	-0.799	2.383	2.563	2.774	2.616	2.772	3.985	2.634	4.053	Q15477	Q15477	1	3	3	3	Q15477	HUMAN	138722.7	2.9	1368	1368.1	35.25	35.25	Helicase SKI2W	3	3	36100000	2.9%
0.203	0	-0.875	1.768	1.585	1.928	2.107	1.649	1.95	1.971	1.933	P62269	P62269	1	3	3	3	P62269	HUMAN	17718.4	13.1	1369	1369.1	35.24	35.24	40S ribosomal protein S18	3	3	38700000	13.1%
	0.362	-0.503	3.098	2.815	3.233	3.191	3.39	4.474	3.325	4.648	O75746	O75746	1	2	2	2	O75746|O75746-2	HUMAN	75159.9	4.4	1370	1370.1	35.22	35.22	Calcium-binding mitochondrial carrier protein Aralar1	2	2	62900000	4.4%
0	0.302	-0.918	3.217	2.992	3.297	3.501	3.433	4.658	3.41	4.757	Q15555	Q15555	1	4	3	3	Q15555|Q15555-3|Q15555-5|Q15555-4|Q15555-2	HUMAN	37258.9	10.7	1371	1371.1	35.2	35.2	Microtubule-associated protein RP/EB family member 2	3	4	67500000	10.7%
0.443		-1.277	3.348	3.271	3.353	3.897	3.199	2.456	3.315	2.977	Q03164-3	Q03164-3	1	2	2	2	Q03164-3|Q03164|Q03164-2	HUMAN	436608.3	0.7	1372	1372.1	35.16	35.16	Isoform 3 of Histone-lysine N-methyltransferase 2A	2	2	6280000	0.7%
0.17	0	-1.262	2.357	2.308	2.487	2.186	2.145	2.552	2.469	2.655	Q9BT22	Q9BT22	1	3	3	3	Q9BT22|Q9BT22-2	HUMAN	53315.9	6	1373	1373.1	35.12	35.12	Chitobiosyldiphosphodolichol beta-mannosyltransferase	3	3	1.03e+08	6.0%
0	0.131	-0.455	2.473	2.476	2.528	2.579	2.704	3.145	2.497	3.384	Q9P1Z2	Q9P1Z2	1	3	3	3	Q9P1Z2|Q9P1Z2-3|Q9P1Z2-2|Q9P1Z2-4	HUMAN	77791.3	4.9	1374	1374.1	35.06	35.06	Calcium-binding and coiled-coil domain-containing protein 1	3	3	4.4e+07	4.9%
0	0.638	-0.423	2.815	2.833	2.817	2.683	2.799	3.796	2.774	3.881	Q7Z3B4	Q7Z3B4	1	3	3	3	Q7Z3B4|Q7Z3B4-3|Q7Z3B4-2	HUMAN	55548.5	7.1	1375	1375.1	35.05	35.05	Nucleoporin p54	3	3	45900000	7.1%
0	0.655	-0.334	2.669	2.298	2.617	2.506	2.776	3.64	2.65	3.787	Q9BRX2	Q9BRX2	1	3	3	3	Q9BRX2	HUMAN	43814.8	6.7	1376	1376.1	35.03	35.03	Protein pelota homolog	3	3	63400000	6.7%
0	0.182	-0.447	2.621	2.632	3.06	2.742	2.954	3.586	2.866	3.695	Q00577	Q00577	1	3	3	3	Q00577	HUMAN	35024.2	11.8	1377	1377.1	35	35	Transcriptional activator protein Pur-alpha	3	3	6.54e+08	11.8%
0.243	0.191	-1.306	3.942	3.754	4.058	3.987	4.04	4.062	4.068	4.21	Q9P2W9	Q9P2W9	1	4	3	3	Q9P2W9|D6RF48	HUMAN	38844	9.2	1378	1378.1	34.99	34.99	Syntaxin-18	3	4	2.24e+08	9.2%
	0.868		2.94	2.788	3.045	3.186	3.064	4.087	3.099	4.053	Q92543	Q92543	1	2	2	2	Q92543|Q92543-2|E9PLV3	HUMAN	109794.3	4.4	1379	1379.1	34.99	34.99	Sorting nexin-19	2	2	11300000	4.4%
0.268	0	-0.943	2.718	2.431	2.794	2.505	2.759	3.489	2.602	3.584	P00366	P00366	1	3	3	3	P00366|P49448|P00367|P00367-3|P00367-2	BOVIN	61853.2	6.2	1380	1380.1	34.95	34.95	Glutamate dehydrogenase 1 mitochondrial Michrom mix 6	3	3	32300000	6.2%
0	1.16	-0.855	4.111	3.626	4.007	3.805	4.353	5.845	4.166	5.867	Q9H788	Q9H788	1	4	4	4	Q9H788|Q9H788-2	HUMAN	52954.2	11	1381	1381.1	34.95	34.95	SH2 domain-containing protein 4A	4	4	7.74e+08	11.0%
0	0.667	-0.37	3.37	3.198	3.479	3.36	3.416	4.012	3.395	4.426	Q9BW60	Q9BW60	1	2	2	2	Q9BW60|Q9BW60-2	HUMAN	32776.2	8.6	1382	1382.1	34.88	34.88	Elongation of very long chain fatty acids protein 1	2	2	1.13e+08	8.6%
0	0.064	-0.887	1.597	1.637	1.672	1.691	1.683	2.51	1.777	2.666	Q14498	Q14498	1	5	3	3	Q14498|Q14498-2|G3XAC6|Q14498-3	HUMAN	59663.8	6.4	1383	1383.1	34.83	34.83	RNA-binding protein 39	3	5	1.27e+08	6.4%
0	0.125	-0.667	3.01	2.918	3.182	2.925	3.064	3.852	3.263	4.414	Q7Z7L1	Q7Z7L1	1	6	4	4	Q7Z7L1|Q08AF3|Q68D06|Q68D06-2	HUMAN	104374.1	5.2	1384	1384.1	34.82	34.82	Schlafen family member 11	6	6	8.83e+08	5.2%
0	0.583	-1.243	2.826	2.808	2.858	2.806	2.675	3.798	2.775	4.036	F8VW96	F8VW96	1	3	3	3	F8VW96|Q16527|F8VQR7	HUMAN	28048.5	13.5	1385	1385.1	34.8	34.8	Cysteine and glycine-rich protein 2	3	3	1.3e+08	13.5%
0	0.403	-0.623	1.998	2.064	2.428	2.355	2.372	3.468	1.971	3.562	Q9H3F6	Q9H3F6	1	2	2	2	Q9H3F6|Q9H3F6-2|F5GWA4|Q9H3F6-3|B3KVY5	HUMAN	35831	12.7	1386	1386.1	34.78	34.78	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	2	2	3.3e+07	12.7%
0	0.597	-0.694	2.81	2.507	2.87	2.847	2.87	4.17	3.053	4.419	Q00534	Q00534	1	4	3	3	Q00534	HUMAN	37280	9.5	1387	1387.1	34.65	34.65	Cyclin-dependent kinase 6	3	4	2.46e+09	9.5%
0	0.321	-1.036	3.518	3.696	3.846	3.936	3.825	4.111	3.936	4.075	Q14318-2	Q14318-2	1	3	2	2	Q14318-2|Q14318|Q14318-3|A0A0A0MTJ1	HUMAN	45104.4	7.5	1388	1388.1	34.62	34.62	Isoform 2 of Peptidyl-prolyl cis-trans isomerase FKBP8	2	3	1.71e+08	7.5%
0	0.553	-0.462	2.095	1.579	1.85	1.953	1.987	4.059	1.697	4.236	Q5H9R7-5	Q5H9R7-5	1	4	3	3	Q5H9R7-5|Q5H9R7|Q5H9R7-2|Q5H9R7-6|E9PKF6|H7BXH2|Q5H9R7-4|E9PQP7	HUMAN	99453.3	3.1	1389	1389.1	34.58	34.58	Isoform 5 of Serine/threonine-protein phosphatase 6 regulatory subunit 3	3	4	4.76e+08	3.1%
0	0.712	-0.223	2.228	2.643	2.798	2.945	2.828	4.082	2.877	4.051	A0A0U1RRM4	A0A0U1RRM4	1	3	3	3	A0A0U1RRM4|P26599-3|P26599-2|P26599|A6NLN1|A0A0D9SF20	HUMAN	62691.3	7.4	1390	1390.1	34.54	34.54	Polypyrimidine tract-binding protein 1	3	3	36800000	7.4%
0	0.396	-1.096	2.079	0.91	2.158	0.734	2.101	3.638	1.888	3.575	TGGT1_215460-t26_1-p1	TGGT1_215460-t26_1-p1	1	4	3	3	TGGT1_215460-t26_1-p1	Toxoplasma_gondii_GT1	30545.7	13.8	1391	1391.1	34.54	34.54	TGGT1_215460	3	4	5.42e+08	13.8%
